transaction_id,account_id,timestamp,transaction_type,amount_usd,country,risk_flag
TXN00001,ACC1001,2025-10-01 09:07:00,Wire Transfer,21452,UAE,Suspicious Login
TXN00002,ACC1002,2025-10-01 09:14:00,UPI,16679,USA,High Velocity
TXN00003,ACC1003,2025-10-01 09:21:00,Card Payment,12260,UAE,Mule Activity
TXN00004,ACC1004,2025-10-01 09:28:00,UPI,23279,UAE,High Velocity
TXN00005,ACC1005,2025-10-01 09:35:00,Card Payment,23928,India,High Velocity
TXN00006,ACC1006,2025-10-01 09:42:00,Bank Transfer,14246,USA,High-Risk Geography
TXN00007,ACC1007,2025-10-01 09:49:00,UPI,9615,India,Suspicious Login
TXN00008,ACC1008,2025-10-01 09:56:00,Crypto Transfer,18527,Russia,High Velocity
TXN00009,ACC1009,2025-10-01 10:03:00,Wire Transfer,12792,UAE,Mule Activity
TXN00010,ACC1010,2025-10-01 10:10:00,Card Payment,8588,Russia,Structuring
TXN00011,ACC1011,2025-10-01 10:17:00,Card Payment,24411,UK,Normal
TXN00012,ACC1012,2025-10-01 10:24:00,Card Payment,9787,UAE,Structuring
TXN00013,ACC1013,2025-10-01 10:31:00,Card Payment,16139,Russia,High Velocity
TXN00014,ACC1014,2025-10-01 10:38:00,Crypto Transfer,2001,USA,Normal
TXN00015,ACC1015,2025-10-01 10:45:00,Bank Transfer,9428,UAE,Structuring
TXN00016,ACC1016,2025-10-01 10:52:00,UPI,9227,Russia,Structuring
TXN00017,ACC1017,2025-10-01 10:59:00,Wire Transfer,7365,Nigeria,High-Risk Geography
TXN00018,ACC1018,2025-10-01 11:06:00,Card Payment,21306,Singapore,Suspicious Login
TXN00019,ACC1019,2025-10-01 11:13:00,Bank Transfer,14211,Singapore,Mule Activity
TXN00020,ACC1020,2025-10-01 11:20:00,Crypto Transfer,21471,USA,Normal
TXN00021,ACC1021,2025-10-01 11:27:00,Crypto Transfer,14193,India,Mule Activity
TXN00022,ACC1022,2025-10-01 11:34:00,Card Payment,2668,USA,Suspicious Login
TXN00023,ACC1023,2025-10-01 11:41:00,Bank Transfer,19247,USA,Mule Activity
TXN00024,ACC1024,2025-10-01 11:48:00,UPI,8785,UK,Structuring
TXN00025,ACC1025,2025-10-01 11:55:00,Card Payment,19354,Nigeria,Mule Activity
TXN00026,ACC1026,2025-10-01 12:02:00,Crypto Transfer,17266,Hong Kong,High Velocity
TXN00027,ACC1027,2025-10-01 12:09:00,Wire Transfer,17196,UK,Normal
TXN00028,ACC1028,2025-10-01 12:16:00,UPI,4092,Singapore,Suspicious Login
TXN00029,ACC1029,2025-10-01 12:23:00,Bank Transfer,16881,UAE,Mule Activity
TXN00030,ACC1030,2025-10-01 12:30:00,Card Payment,15837,Nigeria,Normal
TXN00031,ACC1031,2025-10-01 12:37:00,Card Payment,9812,UAE,Structuring
TXN00032,ACC1032,2025-10-01 12:44:00,Crypto Transfer,13295,UAE,Mule Activity
TXN00033,ACC1033,2025-10-01 12:51:00,Crypto Transfer,15367,India,High-Risk Geography
TXN00034,ACC1034,2025-10-01 12:58:00,Crypto Transfer,6354,UAE,Suspicious Login
TXN00035,ACC1035,2025-10-01 13:05:00,UPI,8830,USA,Structuring
TXN00036,ACC1036,2025-10-01 13:12:00,Card Payment,9500,India,Structuring
TXN00037,ACC1037,2025-10-01 13:19:00,Crypto Transfer,8990,UAE,Structuring
TXN00038,ACC1038,2025-10-01 13:26:00,Card Payment,2398,USA,Normal
TXN00039,ACC1039,2025-10-01 13:33:00,Wire Transfer,3306,UK,High-Risk Geography
TXN00040,ACC1040,2025-10-01 13:40:00,Bank Transfer,4620,Singapore,High-Risk Geography
TXN00041,ACC1041,2025-10-01 13:47:00,Card Payment,5910,Nigeria,High-Risk Geography
TXN00042,ACC1042,2025-10-01 13:54:00,Card Payment,14365,USA,Suspicious Login
TXN00043,ACC1043,2025-10-01 14:01:00,Crypto Transfer,17502,USA,Mule Activity
TXN00044,ACC1044,2025-10-01 14:08:00,Bank Transfer,21795,Russia,High-Risk Geography
TXN00045,ACC1045,2025-10-01 14:15:00,UPI,16049,UAE,High Velocity
TXN00046,ACC1046,2025-10-01 14:22:00,Card Payment,11578,India,High-Risk Geography
TXN00047,ACC1047,2025-10-01 14:29:00,Wire Transfer,8040,USA,Normal
TXN00048,ACC1048,2025-10-01 14:36:00,UPI,23694,India,Normal
TXN00049,ACC1049,2025-10-01 14:43:00,Wire Transfer,1529,Russia,High-Risk Geography
TXN00050,ACC1050,2025-10-01 14:50:00,Bank Transfer,23834,Nigeria,High Velocity
